annual_inc,bc_util,chargeoff_within_12_mths,dti,inq_last_6mths,mths_since_last_delinq,num_accts_ever_120_pd,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bc_limit,avg_cur_bal,pct_tl_nvr_dlq,revol_bal,total_acc,int_rate,verification_status,home_ownership,term,TARGET
53000,88.8,0,25.25,0,11,0,0,0,132074,11200,14564,100,13780,17,20.49,Source Verified,OWN, 60 months,1
60000,94.4,0,25.88,0,20,1,0,0,68761,6300,5565,87.5,7378,16,12.29,Not Verified,RENT, 36 months,0
125000,82.5,0,10.93,1,77,0,0,0,229006,15000,14929,100,14171,41,7.89,Not Verified,RENT, 36 months,0
90000,77.6,0,22.75,0,79,0,0,0,248018,43900,12054,100,34073,41,17.57,Verified,MORTGAGE, 60 months,0
76863,43.3,0,19.53,1,34,2,0,0,40792,2400,3816,77.8,1040,20,9.17,Not Verified,MORTGAGE, 36 months,0
90000,92.1,0,19.65,0,77,0,1,0,291672,9000,28532,100,8286,13,9.99,Not Verified,MORTGAGE, 36 months,0
49920,98.2,0,12.5,0,19,0,0,0,72319,12500,4972,92.9,15843,14,12.29,Source Verified,MORTGAGE, 60 months,0
95000,15.7,0,16.09,0,14,0,0,0,122532,26400,11320,100,4157,21,6.68,Source Verified,RENT, 36 months,0
45215,33.1,0,26.07,1,20,0,1,0,63767,12700,2317,100,4730,40,13.33,Source Verified,OWN, 36 months,0
145000,43.3,0,20.16,0,38,1,0,0,689428,47300,38028,96,61410,25,9.17,Verified,MORTGAGE, 36 months,0
42000,63.3,0,17.14,0,59,1,1,0,48250,3800,2814,100,6826,18,10.99,Source Verified,MORTGAGE, 60 months,0
85000,80.8,0,23.58,0,13,0,0,0,144170,10700,10174,97.1,11480,39,17.57,Not Verified,RENT, 60 months,0
95000,55.5,0,21.78,0,70,0,0,0,85900,38600,1967,96.9,31030,32,6.39,Source Verified,RENT, 36 months,0
42000,92.8,0,11.8,0,30,0,0,0,15529,5000,2757,100,5217,12,12.69,Verified,MORTGAGE, 36 months,0
77000,46.8,0,19.2,1,80,0,1,0,93884,24100,4401,100,24071,26,10.99,Source Verified,MORTGAGE, 60 months,0
87180,18.1,0,12.91,1,17,0,0,0,431142,44300,31944,96.2,8179,27,7.89,Source Verified,MORTGAGE, 36 months,0
80000,28,0,19.97,0,9,0,0,0,167662,39700,6036,100,20178,36,6.68,Source Verified,MORTGAGE, 36 months,0
41000,17.9,0,18.21,0,5,3,0,0,33382,4000,4160,81.8,717,23,16.99,Source Verified,RENT, 36 months,0
43000,40.5,0,27.46,0,14,7,0,0,69450,4300,5118,65.2,1827,46,14.65,Not Verified,OWN, 36 months,0
30000,81.7,0,33.4,1,5,0,0,0,57554,27900,3852,100,23697,13,19.52,Source Verified,RENT, 36 months,0
119900,44.1,0,15.49,1,76,1,0,0,436286,33300,21734,85.7,16038,37,7.89,Source Verified,MORTGAGE, 36 months,0
10043,20.8,0,27.39,0,21,2,1,0,22100,15700,419,93.3,3270,38,12.69,Verified,RENT, 36 months,0
70000,83.2,0,21.65,0,9,0,0,0,50337,16500,7138,100,14178,28,13.33,Verified,RENT, 60 months,0
85000,63.1,0,27.5,3,10,0,0,0,256500,41300,5544,100,37573,43,8.18,Verified,MORTGAGE, 36 months,1
92000,76.7,0,25.36,0,34,0,0,0,314006,15700,19277,100,39489,35,13.33,Verified,MORTGAGE, 36 months,0
48000,86.7,0,18.6,0,58,0,0,0,247805,4000,29519,100,19476,22,19.52,Source Verified,MORTGAGE, 60 months,1
52000,52.5,0,15.44,2,51,1,0,0,47287,7500,1608,96.2,6831,26,16.99,Source Verified,MORTGAGE, 36 months,0
77000,97.6,0,34.6,0,3,0,0,0,348484,14100,16495,100,19128,53,15.61,Source Verified,MORTGAGE, 36 months,1
105000,87.3,0,12.96,0,38,0,0,0,298884,23500,30808,90.9,36316,22,9.99,Source Verified,MORTGAGE, 36 months,0
110000,25.2,0,11.08,0,14,0,0,0,286002,21800,25724,88.1,6954,42,6.68,Source Verified,OWN, 36 months,0
75000,16.8,0,5.6,1,16,0,0,0,435200,103300,20795,100,22239,27,7.89,Verified,OWN, 36 months,0
55000,78.5,0,14.79,1,11,3,0,0,165350,3800,12332,81.5,4012,27,11.53,Not Verified,MORTGAGE, 36 months,0
1.00E+05,94.2,0,16.51,1,4,0,0,0,327970,18000,38397,100,17821,23,14.65,Source Verified,MORTGAGE, 60 months,0
65000,69,0,13.72,0,71,1,0,0,173445,20700,22847,93.3,14292,15,11.53,Source Verified,MORTGAGE, 60 months,0
80341,76.8,0,11.05,2,66,0,0,0,197700,19100,12484,91.7,30543,24,7.89,Source Verified,MORTGAGE, 36 months,0
50000,82.7,0,30.12,1,24,0,0,1,77608,4500,3712,100,5841,32,17.57,Source Verified,MORTGAGE, 60 months,0
93000,50.9,0,22.22,2,22,1,0,0,603827,37300,50052,92.9,262307,29,19.52,Verified,OWN, 60 months,0
71000,56.7,0,32.76,0,28,0,0,0,215963,23900,13669,100,14744,26,18.25,Verified,MORTGAGE, 60 months,0
43700,32.7,0,11.97,0,28,0,1,0,34000,10900,859,100,4338,22,11.53,Source Verified,RENT, 36 months,0
85000,66.6,0,14.75,0,8,0,0,0,410862,36400,21401,84.8,34495,34,11.53,Verified,MORTGAGE, 36 months,0
75000,28.1,0,20.71,3,75,1,0,0,217482,48800,6842,95.2,13733,43,10.99,Not Verified,MORTGAGE, 36 months,0
99000,81.2,0,14.16,1,59,0,0,0,331179,12100,16248,97.1,21375,34,11.53,Verified,MORTGAGE, 36 months,0
35000,24,0,30.49,2,37,0,0,0,58211,33750,1205,100,8200,21,16.55,Verified,RENT, 36 months,1
65000,82.7,0,23.63,0,58,1,0,0,248914,900,35254,93.9,7291,34,12.69,Not Verified,MORTGAGE, 36 months,0
79655,67.6,0,12.39,0,43,0,0,0,51705,24000,2221,100,16236,17,11.53,Not Verified,RENT, 36 months,0
40000,0,0,3.63,0,82,0,0,0,9800,500,1320,88.9,3960,9,13.99,Verified,MORTGAGE, 60 months,1
63000,78.5,0,15.58,1,14,0,0,0,37585,3500,2717,100,3117,15,17.57,Not Verified,RENT, 36 months,0
38000,0,0,3.3,0,25,1,0,0,6100,5000,0,92.3,0,13,14.65,Source Verified,MORTGAGE, 36 months,0
46000,50.7,0,28.88,0,17,0,0,0,110302,24600,5783,100,13539,18,5.93,Source Verified,RENT, 36 months,0
120000,91,0,30.06,1,78,0,0,0,403531,15300,22994,93.5,35635,31,12.69,Not Verified,MORTGAGE, 36 months,0
54489,27.2,0,17.47,0,45,1,0,0,75160,28600,5889,95.8,8404,24,6.68,Source Verified,RENT, 36 months,0
95000,97.4,0,3.42,0,65,0,0,0,9700,9700,1890,100,9450,10,9.17,Verified,RENT, 36 months,0
52000,44.8,0,32.36,0,37,0,0,0,100781,21100,4958,96.9,17161,32,7.89,Source Verified,RENT, 36 months,0
